emp_id,income,expected_income,risk_score,quality
4427192,3185,500,41650,0.838386
2903292,1875,600,48250,0.512552
9379150,4680,800,33400,0.626176
1876676,2650,400,62250,0.741728
4763821,2500,800,31400,0.547635
6202768,4490,1100,54350,0.446509
8369857,3041,1100,32450,0.752626
2120242,4640,1100,62300,0.766246
9857271,5105,2100,82400,0.776211
6525296,3270,500,47650,0.577857
4846559,4090,600,52750,0.59869
9271318,3165,800,76800,0.545537
8507223,3265,900,72950,0.749033
2032920,1665,800,56450,0.74312
8270867,1710,550,38700,0.641832
3309505,4205,600,31350,0.752099
1477257,5196,1100,66350,0.619793
9943711,4200,600,85550,0.65376
8452744,3140,400,74850,0.52835
8524987,5075,799,65650,0.662199
5636433,2660,900,61950,0.413159
3373460,4716,800,45700,0.848113
3595355,5150,2700,74700,0.65582
6190525,6575,400,38850,0.537724
9587730,7040,3200,53250,0.524664
7443808,4240,900,39950,0.465128
4177219,2155,900,61400,0.578011
2575818,3075,1600,77650,0.542604
5809788,2600,900,39500,0.622894
2717104,2375,1600,39200,0.471439
6414003,5225,2300,51200,0.70902
5409482,3135,600,52750,0.699014
3054464,2690,1000,52750,0.359492
6010393,1640,400,74500,0.830537
7859603,1585,600,57050,0.469478
2886166,3280,1050,85300,0.528855
3825119,3860,900,71500,0.659971
8959442,2005,400,44550,0.769244
7981327,4790,3200,77700,0.582276
1440697,2515,500,48400,0.746689
7130926,3565,900,35000,0.712754
7416937,4670,500,38100,0.587156
5026745,3075,700,53750,0.520336
1305751,2250,600,75450,0.548068
2772342,3390,900,60650,0.535644
7037207,1983,700,54350,0.53396
2606422,5735,600,45550,0.756914
4293299,2530,450,38400,0.633359
5293011,6100,400,88250,0.808673
5808568,1977,400,65250,0.603498
1264315,3320,600,46350,0.39767
2851430,3500,700,72400,0.501771
1479220,3885,800,62700,0.649095
4842467,2090,400,56300,0.438688
1990728,4780,2400,64500,0.76661
3423311,2898,600,74850,0.520303
2235181,4130,500,72400,0.50897
8470131,3085,1200,70650,0.508964
7899565,3361,600,57450,0.52139
4153723,2540,850,48750,0.535941
2099805,2425,400,45850,0.58786
4533419,3270,500,53450,0.522542
5180364,3485,700,38300,0.573095
3688882,3255,800,58850,0.754222
8633564,1610,550,37450,0.848178
3470890,4355,900,73600,0.515901
2870129,2785,400,50400,0.568377
2711141,4505,1100,67150,0.321673
9852116,4450,1350,67050,0.708752
9944358,2002,1600,74000,0.520508
9839017,2075,550,33900,0.461552
9572490,1570,700,78850,0.85178
7333513,4730,1400,75000,0.724752
1906268,2180,600,44400,0.535643
6859022,1890,1000,73800,0.343043
6860110,2740,1200,83600,0.574954
9120916,2660,1100,49650,0.652255
6754706,2869,500,76600,0.660844
5877043,2075,1200,79750,0.709652
3386783,6040,600,49500,0.684796
2778619,1660,500,34650,0.500755
9735320,5035,1600,76900,0.924288
6024295,3750,900,64200,0.623176
1714678,2750,1600,38850,0.560456
5493589,5181,1600,64150,0.474401
9593413,2890,800,47750,0.77605
8891475,3055,500,46150,0.61454
4899961,5115,1100,69750,0.64331
7714891,5025,600,64800,0.658974
2042006,2755,700,58700,0.601607
4947181,2275,800,73400,0.536716
8080899,2555,700,72350,0.534233
4414746,1855,500,51150,0.502189
3508242,7035,900,56550,0.653667
7567357,2015,400,36800,0.449323
2105574,3630,600,45900,0.670812
2948337,2120,800,58850,0.598531
2281584,1915,1700,64500,0.579458
1662687,5096,3200,78450,0.9056
2920619,2280,400,62500,0.501706
3449707,2700,400,66600,0.724301
5389807,2765,700,33600,0.686683
1313983,3640,700,50150,0.504079
2258142,5085,700,56850,0.660737
8002778,5030,700,48700,0.687411
6517566,2195,500,63100,0.62337
1759985,2705,700,59650,0.658273
7737371,3260,800,72900,0.503841
6559778,3200,900,50900,0.803342
1780217,4190,400,45950,0.629512
8031605,5280,400,73600,0.562578
4102493,6175,800,73100,0.666722
3090101,3155,600,67150,0.455261
4209025,6780,2100,80400,0.354791
5459691,5085,2700,61350,0.807293
4026194,5290,900,63300,0.481635
5601966,3205,600,74200,0.776972
6542220,6675,900,43700,0.601692
7082019,1785,600,78450,0.726306
3409619,6185,1200,92100,0.827848
8323339,4790,1700,75250,0.654339
6333397,7290,700,64800,0.740429
2367244,2788,1200,38400,0.409561
6180719,3230,1000,66050,0.625429
3988730,4110,400,54600,0.462935
1662593,3200,400,38150,0.354994
5705465,2205,700,68400,0.682869
5231496,3060,400,72900,0.690884
7041115,2405,800,49900,0.72702
1115491,2150,500,45350,0.520434
5462622,2215,800,49850,0.384499
8939661,6715,2800,72450,0.70415
4327194,2260,700,52750,0.690922
9826225,1875,1200,68750,0.579524
2196277,5205,2400,69150,0.81648
2231863,3050,400,87200,0.84821
9370425,1685,450,36900,0.619248
3780822,5095,700,57900,0.714948
7660326,3795,700,56200,0.879716
2580721,2625,700,60250,0.898412
5190277,1745,700,72750,0.693894
4453838,5050,900,60700,0.416866
6652320,2575,400,49250,0.427026
4258443,1670,800,68300,0.512892
4708455,1605,800,60400,0.80446
6033204,1530,600,51000,0.65293
5383035,2005,750,84050,0.501369
4332719,5240,400,78200,0.465344
4591387,3670,800,62300,0.785133
7833425,2575,500,42300,0.454804
2200063,8940,700,72000,0.591721
1714643,3320,600,36450,0.581209
7132992,1715,450,38500,0.785066
7901321,2220,900,60350,0.659228
4433665,4899,1300,70650,0.583171
5761192,3720,800,56350,0.520127
8572331,4155,1300,86900,0.824131
6474344,1820,750,67250,0.84401
1964873,3660,600,67350,0.781099
9248384,3996,1100,64800,0.610082
7378272,2730,450,78200,0.816497
9412285,6610,900,52300,0.731883
1838949,2760,700,43100,0.332525
4971599,3585,700,56350,0.73597
8865248,2700,500,56400,0.600644
3480222,2670,1100,58800,0.784766
6863103,3705,1100,50550,0.695255
9867349,4755,1100,63950,0.469597
2014021,9565,1100,71950,0.622764
9040401,3705,1100,53400,0.665445
8646039,5045,800,79350,0.617578
5746463,3375,700,48700,0.707838
8161672,2340,700,69400,0.400278
9143865,2770,1350,80650,0.866798
6933813,4816,1200,46300,0.49941
3984909,3210,600,45300,0.552464
2253739,2095,600,75850,0.481227
8823941,3610,550,42650,0.808334
9712972,3290,400,84900,0.716105
7745980,3755,500,32500,0.44143
1535004,3975,1100,65550,0.403981
3395537,3055,700,47450,0.525589
8774000,2655,900,73800,0.658996
3428572,2525,400,83200,0.833048
2239876,3100,700,58000,0.478176
9689285,3165,400,59300,0.701869
7756568,5500,1700,69250,0.846792
7714575,2175,1400,72550,0.596416
1654420,6260,1100,31100,0.853893
8231492,6180,1100,32650,0.527239
7010476,7110,1600,90300,0.728646
1566038,6590,2900,79000,0.742081
6511143,1780,400,78850,0.782308
4082270,3740,1200,57700,0.608899
9311431,3620,400,57750,0.576971
6889458,4640,600,36450,0.457656
5832254,2555,2800,68750,0.494951
7642433,3260,1100,34050,0.589902
7792250,3475,900,57400,0.53203
8671817,2985,900,68350,0.564999
4314416,4170,1100,53500,0.750897
4020366,6715,400,61400,0.558845
2863062,3615,1000,64150,0.297486
2219734,5105,900,59850,0.454036
3136993,3185,2200,87800,0.624458
5402020,8105,800,34150,0.632776
5446751,3245,900,50300,0.7727
6595326,2201,401,46650,0.557005
6466820,3005,1000,56050,0.74253
4743890,5035,600,59400,0.571271
5675650,3280,550,43800,0.503928
4233962,2120,500,55950,0.683601
5023159,1690,900,74600,0.495657
7544924,6050,1400,85150,0.737493
5539227,3170,400,56850,0.707596
2708666,3110,500,61800,0.721804
1756803,3645,2400,86550,0.589685
8178448,3105,600,32200,0.448314
6025606,2695,500,44850,0.53072
2398945,2755,1000,62750,0.711246
2063628,2045,400,75450,0.660262
8481549,6570,1600,70550,0.771336
6327984,3695,400,96050,0.614617
5694167,3405,700,51600,0.760418
9972182,5055,500,52150,0.567956
6669964,2235,900,56650,0.743679
7798750,5205,500,38550,0.678795
4788815,7708,600,57700,0.49888
9533410,5582,700,76050,0.526604
7116523,3730,400,84100,0.777904
3995597,5175,800,71450,0.457784
5211335,2155,700,54500,0.630794
8782785,5060,2000,92100,0.507948
5194320,2760,700,79300,0.706238
3751541,2505,800,39350,0.618258
3106804,2980,600,49650,0.41559
9607408,4025,800,65200,0.605723
1905867,1795,899,38550,0.637906
4694254,4675,400,61650,0.658215
5413897,5095,700,67400,0.800723
8305984,3125,600,66600,0.612273
3530396,3205,600,34900,0.492568
8819329,3540,500,43950,0.789948
5605121,3190,750,76050,0.55373
4168090,3180,1200,44550,0.662903
4472405,5220,2400,72650,0.422017
7068542,4710,500,67050,0.748192
7658216,3765,400,32550,0.636544
4687619,6255,1450,63900,0.385269
4826632,2650,500,68550,0.595503
4562159,3895,800,50850,0.402978
8161988,2570,1350,78550,0.816309
6852067,3530,2700,70650,0.652305
3490761,3110,400,47400,0.943371
8056220,5597,900,76850,0.542571
4767118,6070,3700,92700,0.918266
9651413,1765,700,76850,0.733068
7576927,4515,900,55650,0.898567
9465005,3055,1600,65700,0.848625
4816809,3040,600,49950,0.710624
8275677,2255,800,62800,0.731544
7869458,5145,700,32100,0.441135
7415956,4185,400,50550,0.330911
7407412,3591,400,71550,0.505258
6994771,3175,900,79200,0.635636
9121899,4500,550,25050,0.343688
9240098,4730,600,55250,0.532338
7927758,7015,2100,77450,0.464027
2470792,4115,400,49650,0.519668
5914108,2170,600,73950,0.720969
8944968,1670,1100,63850,0.54244
9927335,3265,1100,80250,0.818978
8727329,3169,400,71800,0.473558
9334850,3190,1200,45850,0.542207
4587631,3235,1350,60300,0.531883
3046666,2865,600,76500,0.697805
6239065,2943,850,67400,0.506072
8339862,8245,2800,87600,0.492327
3048166,6630,900,49950,0.445945
5698441,2025,1100,40800,0.648957
7690758,3740,1100,69550,0.51254
7616407,2355,400,54450,0.56455
4585489,2280,400,65250,0.874447
7038572,4005,1200,68450,0.334289
7474151,1595,700,81000,0.715653
5121513,4000,1200,48900,0.575932
3227397,3180,800,38800,0.676213
7846122,3010,700,60300,0.73515
3633391,2625,600,66250,0.531711
7395883,9755,2100,95850,0.619069
3855669,5200,799,48950,0.579443
9929029,4990,600,70200,0.570275
7394534,3695,400,31950,0.278679
7573188,3690,600,47400,0.704729
7617814,1655,600,61400,0.632605
6568405,3615,1000,58650,0.427964
1120829,6155,1700,63050,0.630253
2242083,2725,600,50350,0.461652
7077217,3740,1100,74400,0.615893
4672675,2447,550,32950,0.598148
8627122,4740,1250,77850,0.52559
4467396,5095,500,41950,0.712542
4001561,2650,700,51000,0.763271
9115608,6050,1100,71100,0.326487
5577257,2580,700,52000,0.737344
7218237,2170,1100,58500,0.707212
9181475,6505,1700,77850,0.635926
1300412,4070,700,38700,0.696423
6487580,2205,400,74850,0.63368
4590760,1881,750,76100,0.584829
4972622,2160,500,72200,0.685451
8146598,2150,600,63450,0.449538
3325956,3520,600,66300,0.388679
8122816,2272,600,31700,0.421484
6418304,8762,500,35700,0.743237
2977929,2130,400,55550,0.468988
4909727,2195,400,47450,0.547353
2902439,4725,1900,98550,0.105403
6039803,3745,2700,81000,0.724869
1112537,1560,800,36650,0.479856
2083787,2095,600,54550,0.80021
6701122,5447,900,50100,0.446176
6345185,1795,700,51600,0.474249
7386875,4520,1200,75950,0.305109
4555937,3185,550,50900,0.608337
2965699,2675,400,89700,0.759862
5674760,3085,400,53550,0.488915
8937291,3575,700,69950,0.765946
2866553,1745,400,64750,0.798716
6255157,2740,700,68400,0.483341
5169416,3995,700,71500,0.709744
7050230,2140,1700,73200,0.646133
8817197,6665,1100,53550,0.423435
9834268,1600,600,72300,0.509564
6718816,2666,600,51350,0.730918
7340624,2680,800,52400,0.607587
4997990,3525,500,36000,0.767154
8731891,4010,1000,61800,0.648853
7891756,2770,900,51700,0.474749
2767507,2855,700,46050,0.465016
5885329,1695,1100,82250,0.50728
9616977,2420,400,82350,0.759979
8608125,4175,700,71650,0.860501
4970325,3575,400,45450,0.832467
6037943,3625,1450,76850,0.670774
6209498,5005,1900,88500,0.795627
8468764,2055,1000,64950,0.673579
7254661,2230,900,48550,0.644595
3580417,2650,900,42900,0.610534
7276167,3200,1100,57600,0.64339
7756057,3050,2700,86100,0.660526
2623407,3760,400,63750,0.708034
8072596,2330,800,45700,0.379483
2597274,3070,700,56400,0.4785
6671410,3145,1100,53800,0.356505
6150110,3345,1000,71700,0.877119
5271596,4660,1100,47550,0.574296
1222005,2085,700,58650,0.260632
5635226,3225,1100,59400,0.651105
6605275,8180,1600,46000,0.699118
6937519,4275,600,42300,0.568886
8607666,1540,600,59550,0.80101
5833759,5265,700,49550,0.857887
5534856,2645,600,63400,0.649412
2052508,1595,700,32100,0.736949
5420334,6265,600,77050,0.673182
9457261,3035,900,71950,0.714743
5547450,3065,1350,86000,0.660029
6266530,4670,600,58350,0.805307
5147377,3760,1100,83600,0.712602
8588942,1655,1100,73500,0.80174
2323970,3060,2400,68150,0.567634
3365494,3265,1550,79850,0.824299
7709095,3230,700,73900,0.481757
9323249,7050,3100,58050,0.767988
1605788,3730,800,63000,0.595295
8313790,3655,400,34500,0.321079
5326024,3255,900,48750,0.773068
1410722,6590,1200,72800,0.592461
1241399,5165,750,77150,0.618879
6923019,3875,2400,69950,0.547144
9883741,4250,700,76500,0.741664
5668948,2760,450,42450,0.722439
7947035,3625,900,65650,0.786439
1251427,9660,800,74100,0.534745
3379357,3205,900,73550,0.694008
7000464,2055,500,50750,0.523512
7378062,2725,1100,61200,0.745721
5862149,3105,400,70650,0.696698
2682407,3275,750,72000,0.635804
7868299,3675,1250,53950,0.476312
3324863,1689,800,38700,0.646372
1234917,1785,600,66000,0.404877
7523989,3280,1100,62400,0.795945
6181468,2675,700,47850,0.6348
1484579,1910,800,59850,0.623112
7978292,5370,700,74500,0.593729
9044620,3080,400,48550,0.48552
3456626,2550,500,38650,0.725792
6885627,1745,800,79200,0.507486
8156030,2580,900,79700,0.656424
7890332,4620,1900,89700,0.255646
5534305,2595,1200,64950,0.676996
8468025,6735,800,73250,0.703432
4343205,5260,2600,74650,0.535512
9412630,6505,400,37800,0.447047
2472222,1645,600,50350,0.649052
2124693,2055,600,76000,0.50099
6953585,2760,400,58500,0.499786
8662405,5245,500,45550,0.759779
5585001,2010,600,68050,0.848853
4589992,1840,700,51000,0.38508
5842992,1798,350,77300,0.65477
9514241,7105,5200,79850,0.831564
8678024,4720,400,33450,0.560545
8085807,4545,2700,86550,0.377814
9975305,3565,500,50150,0.719411
6914373,3695,1200,70950,0.695219
1436722,2265,600,67050,0.698445
5748492,3327,700,73550,0.593865
7170885,2670,1000,71800,0.702864
8222543,5190,900,77350,0.594678
2808974,4270,1100,74850,0.528715
5546631,3435,400,82900,0.617674
8061126,5705,600,60950,0.442724
4793832,6265,950,60750,0.473095
5343209,1652,600,69050,0.588403
8095398,2655,600,53450,0.591692
6989786,2680,500,48100,0.544227
2029862,5295,800,77250,0.628958
4235576,2400,400,45500,0.741693
1732604,3165,400,46450,0.541536
9814162,5170,1100,77250,0.615599
3828592,4560,1900,63000,0.555437
5703296,5226,400,53550,0.836264
4733044,1860,700,46550,0.716792
1390654,2710,1200,60900,0.545261
8268784,4955,1200,88700,0.737783
7101684,1935,900,50850,0.869965
6064677,3090,350,61250,0.535204
4179908,3125,700,60300,0.525688
1155811,3510,500,61300,0.679161
5483512,5000,1099,58950,0.606736
6594000,2535,600,67800,0.744414
2602058,7219,1100,69750,0.744864
7733098,2715,800,72450,0.845184
7374168,3635,800,63200,0.653152
4275103,4629,400,63750,0.629432
5408588,4740,400,65450,0.718537
5322351,5705,2400,87800,0.637536
3626813,2770,600,91950,0.72695
7308727,2500,1050,79450,0.763569
7467058,2120,700,74650,0.721927
8453853,3010,800,79150,0.285961
1836933,1630,700,84400,0.683095
2290780,2135,400,38500,0.755758
8255598,2025,600,73200,0.416559
6128800,6715,1700,87650,0.213346
9276506,3135,600,67050,0.388689
5086807,3800,700,56900,0.845579
9203539,3630,800,60750,0.395439
2720830,3235,4800,51750,0.718029
7790120,6650,400,64300,0.684163
7838675,3080,500,30500,0.356967
8089497,3665,900,51800,0.815986
1744716,3810,1150,56250,0.786745
6185537,1750,600,32100,0.548353
6905760,4700,1900,78700,0.462274
6215041,4170,900,63450,0.390953
2865650,2625,1100,67600,0.501754
4861319,3170,2400,33950,0.796744
2829726,2297,600,77900,0.172317
8052542,1605,800,52550,0.549999
6491069,5165,600,30650,0.683389
7808759,3145,900,32550,0.536769
7816041,5977,700,75050,0.71858
3395358,2515,800,59900,0.736193
6004541,3705,400,50150,0.693951
5895747,4190,1200,60150,0.421156
3976715,4540,2400,70100,0.559062
4651021,3680,700,63100,0.799324
2224386,5190,700,34150,0.580171
4147272,5035,900,37750,0.625669
7985882,1795,1200,56800,0.718789
5865750,3430,900,74850,0.499762
5334542,2665,800,68350,0.749489
5287552,1745,500,59850,0.767412
3896386,1570,1100,55950,0.741463
5326986,1725,700,53450,0.438597
8767287,3780,800,55900,0.563237
1801406,3635,1450,62350,0.545837
7515396,1975,3800,45100,0.666977
7844306,3010,400,70350,0.950682
9032235,6765,1200,40000,0.383353
8601043,2001,1200,55700,0.787792
3471644,3015,450,39500,0.695587
1733085,3260,700,55300,0.841617
7922523,4065,1300,61100,0.58095
1490233,3205,1150,80250,0.53581
8852514,1640,600,47000,0.431291
6172346,4230,400,68550,0.604265
5564581,2260,600,59550,0.74753
2626256,2235,700,61750,0.860009
2540490,5140,600,75200,0.677112
8320175,5290,2100,92550,0.050427
2981497,5115,600,61150,0.673204
2152489,1580,550,31850,0.548002
9207696,4540,900,42000,0.501801
8853688,7127,500,52900,0.533275
6547646,1660,600,39900,0.5732
3349357,5165,2500,73200,0.703029
6337761,3155,400,57700,0.366747
6735784,3435,2100,83150,0.577326
5046002,1800,400,49200,0.782995
8522095,2225,700,56150,0.538576
6948784,5200,900,54300,0.720573
8762806,3325,600,69900,0.77561
3919294,2550,700,71500,0.612978
6618370,1525,400,82350,0.58693
9497011,5025,700,63550,0.800503
8351120,2747,1000,76400,0.759483
1610043,6045,1350,71600,0.590952
8199796,4275,700,72750,0.886891
2126815,5265,2300,72750,0.832429
5162193,4580,1150,99450,0.10358
6646360,4685,800,75300,0.714286
6328576,3240,600,33400,0.686872
2445358,1865,500,81900,0.673085
8125913,2205,400,61350,0.75575
4877099,3185,600,52100,0.536933
6442965,2070,650,64050,0.544067
2376863,1840,600,59350,0.568307
3247739,3045,1200,64950,0.807619
5381751,4245,700,47300,0.348483
5143057,3750,600,57300,0.737168
5874883,2207,700,35100,0.547672
9439202,2615,800,31750,0.858725
1560973,3040,1200,69650,0.581722
9899899,3230,800,50550,0.57448
8382605,3525,500,77000,0.547043
5146968,3150,800,76500,0.45312
1864241,3655,1200,40900,0.599612
1828873,3130,400,88550,0.514761
6100557,2565,700,70250,0.801247
4266598,3110,2500,79050,0.791189
9907272,2630,600,58200,0.728729
9453734,1705,900,64400,0.839333
4536829,5210,3100,70250,0.766481
3969687,3040,600,33750,0.536466
8886720,4359,400,58750,0.785924
9742389,4035,700,32950,0.766591
3055324,3225,400,58250,0.722385
3314709,2170,600,61100,0.6647
9846453,5175,1100,72650,0.778996
2538298,3583,400,31300,0.821372
1124634,3575,400,66500,0.621893
8378134,5065,700,71450,0.829374
